asset_id,asset_key,title,route_or_category,ending_titles,file_name,relative_path,extension,width_px,height_px,size_bytes,sha256_16,referenced_by_index,included_in_zip
1,a_cozy_bistro_evening_atmosphere,A Cozy Bistro Evening Atmosphere,Shared Route CG,,a_cozy_bistro_evening_atmosphere.jpg,assets/a_cozy_bistro_evening_atmosphere.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
2,a_cozy_evening_offering_sukiyaki_dinner,A Cozy Evening Offering Sukiyaki Dinner,Shared Route CG,,a_cozy_evening_offering_sukiyaki_dinner.jpg,assets/a_cozy_evening_offering_sukiyaki_dinner.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
3,a_large_collage_grid_of_portrait_style_illustrat,A Large Collage Grid of Portrait Style Illustrat,Shared Route CG,,a_large_collage_grid_of_portrait_style_illustrat.jpg,assets/a_large_collage_grid_of_portrait_style_illustrat.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
4,a_romantic_afternoon_walk_through_the_park,A Romantic Afternoon Walk Through the Park,Harrison Route,,a_romantic_afternoon_walk_through_the_park.jpg,assets/a_romantic_afternoon_walk_through_the_park.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
5,a_romantic_moment_in_a_mall,A Romantic Moment in a Mall,Marcus Route,,a_romantic_moment_in_a_mall.jpg,assets/a_romantic_moment_in_a_mall.jpg,jpg,1536,864,432324,029ee8b5ecf3eb33,yes,yes
6,a_tense_dinner_in_the_city,A Tense Dinner in the City,Shared Route CG,Marcus Bad Ending: Chemistry Is Not a Home; Marcus Bad Ending: Holding Him Down,a_tense_dinner_in_the_city.jpg,assets/a_tense_dinner_in_the_city.jpg,jpg,1536,864,361318,8c9ef4c41a962609,yes,yes
7,a_warm_moment_in_the_city,A Warm Moment in the City,Shared Route CG,,a_warm_moment_in_the_city.jpg,assets/a_warm_moment_in_the_city.jpg,jpg,800,1000,140930,2b044e8f65ca25d6,yes,yes
8,airi_phone_call_soft,Airi Phone Call Soft,Transition / Airi,,airi_phone_call_soft.jpg,assets/airi_phone_call_soft.jpg,jpg,1024,1536,282725,56dd65b998e69f9e,yes,yes
9,airi_phone_reflection,Airi Phone Reflection,Transition / Airi,,airi_phone_reflection.jpg,assets/airi_phone_reflection.jpg,jpg,1024,1536,282725,56dd65b998e69f9e,yes,yes
10,airi_texting_ren_room,Airi Reflection · Texting Ren in her room,Ren Route,,airi_texting_ren_room.jpg,assets/airi_texting_ren_room.jpg,jpg,1536,864,270707,69bd5ad36d454976,yes,yes
11,airi_texting_train_close,Airi Reflection · Phone close-up on the train,Ren Route,,airi_texting_train_close.jpg,assets/airi_texting_train_close.jpg,jpg,710,1536,163442,5aa0bfc30727ee8c,yes,yes
