asset_path,filename,extension,size_bytes,referenced_by_cg_key,title,route,notes
assets/airi_texting_ren_room.jpeg,airi_texting_ren_room.jpeg,jpeg,360662,,,,asset folder item / backup or alternate
assets/airi_texting_ren_room.webp,airi_texting_ren_room.webp,webp,224852,,,,asset folder item / backup or alternate
assets/airi_texting_train_close.jpeg,airi_texting_train_close.jpeg,jpeg,225539,,,,asset folder item / backup or alternate
assets/harrison_cafe_conversation.webp,harrison_cafe_conversation.webp,webp,212842,,,,asset folder item / backup or alternate
assets/harrison_girlfriend_ask.webp,harrison_girlfriend_ask.webp,webp,294018,,,,asset folder item / backup or alternate
assets/harrison_museum_date.webp,harrison_museum_date.webp,webp,207252,,,,asset folder item / backup or alternate
assets/harrison_park_first_date.webp,harrison_park_first_date.webp,webp,250288,,,,asset folder item / backup or alternate
assets/harrison_white_party.webp,harrison_white_party.webp,webp,198966,,,,asset folder item / backup or alternate
assets/harrison_white_roses.webp,harrison_white_roses.webp,webp,242632,,,,asset folder item / backup or alternate
assets/new_uploads/airi_train_phone_day.webp,airi_train_phone_day.webp,webp,192374,,,,asset folder item / backup or alternate
assets/new_uploads/airi_train_phone_rain_night.webp,airi_train_phone_rain_night.webp,webp,239060,,,,asset folder item / backup or alternate
assets/new_uploads/harrison_cafe_conversation_latest.webp,harrison_cafe_conversation_latest.webp,webp,224996,,,,asset folder item / backup or alternate
assets/new_uploads/harrison_girlfriend_ask_latest.webp,harrison_girlfriend_ask_latest.webp,webp,270788,,,,asset folder item / backup or alternate
assets/new_uploads/harrison_good_ending_couch_kiss.webp,harrison_good_ending_couch_kiss.webp,webp,230246,,,,asset folder item / backup or alternate
assets/new_uploads/harrison_good_ending_kitchen_morning.webp,harrison_good_ending_kitchen_morning.webp,webp,254326,,,,asset folder item / backup or alternate
assets/new_uploads/harrison_job_offer_airi_laptop.webp,harrison_job_offer_airi_laptop.webp,webp,209000,,,,asset folder item / backup or alternate
assets/new_uploads/harrison_job_offer_apartment_before_email.webp,harrison_job_offer_apartment_before_email.webp,webp,166504,,,,asset folder item / backup or alternate
assets/new_uploads/harrison_museum_date_latest.webp,harrison_museum_date_latest.webp,webp,242606,,,,asset folder item / backup or alternate
assets/new_uploads/harrison_park_first_date_latest.webp,harrison_park_first_date_latest.webp,webp,397632,,,,asset folder item / backup or alternate
assets/new_uploads/harrison_white_party_latest.webp,harrison_white_party_latest.webp,webp,269402,,,,asset folder item / backup or alternate
assets/new_uploads/harrison_white_roses_latest.webp,harrison_white_roses_latest.webp,webp,249372,,,,asset folder item / backup or alternate
assets/new_uploads/kenji_cherry_riverside_walk_couple.webp,kenji_cherry_riverside_walk_couple.webp,webp,303038,,,,asset folder item / backup or alternate
assets/new_uploads/kenji_final_kiss_cherry.webp,kenji_final_kiss_cherry.webp,webp,227876,,,,asset folder item / backup or alternate
assets/new_uploads/kenji_final_walk_good_friends.webp,kenji_final_walk_good_friends.webp,webp,271788,,,,asset folder item / backup or alternate
assets/new_uploads/kenji_last_scene_talking_cherry.webp,kenji_last_scene_talking_cherry.webp,webp,289968,,,,asset folder item / backup or alternate
assets/new_uploads/kenji_tommy_shadow_cherry.webp,kenji_tommy_shadow_cherry.webp,webp,193208,,,,asset folder item / backup or alternate
assets/new_uploads/marcus_first_date_mall_gift.webp,marcus_first_date_mall_gift.webp,webp,235880,,,,asset folder item / backup or alternate
assets/new_uploads/ren_apartment_exterior_night.webp,ren_apartment_exterior_night.webp,webp,231040,,,,asset folder item / backup or alternate
assets/new_uploads/ren_cherry_blossom_date_new.webp,ren_cherry_blossom_date_new.webp,webp,340806,,,,asset folder item / backup or alternate
assets/new_uploads/ren_cherry_blossom_kiss_new.webp,ren_cherry_blossom_kiss_new.webp,webp,196154,,,,asset folder item / backup or alternate
assets/new_uploads/ren_ferris_wheel_closeup_latest.webp,ren_ferris_wheel_closeup_latest.webp,webp,182046,,,,asset folder item / backup or alternate
assets/new_uploads/ren_festival_girlfriend_latest.webp,ren_festival_girlfriend_latest.webp,webp,180188,,,,asset folder item / backup or alternate
assets/new_uploads/ren_motorcycle_after_tommy_station.webp,ren_motorcycle_after_tommy_station.webp,webp,265480,,,,asset folder item / backup or alternate
assets/new_uploads/ren_sukiyaki_dinner_latest.webp,ren_sukiyaki_dinner_latest.webp,webp,269472,,,,asset folder item / backup or alternate
assets/new_uploads/ren_waiting_rainy_street_after_tommy.webp,ren_waiting_rainy_street_after_tommy.webp,webp,302066,,,,asset folder item / backup or alternate
assets/new_uploads/tommy_arcade_bull_bridal_ren_interruption.webp,tommy_arcade_bull_bridal_ren_interruption.webp,webp,241826,,,,asset folder item / backup or alternate
assets/new_uploads/tommy_arcade_cheek_kiss_hidden.webp,tommy_arcade_cheek_kiss_hidden.webp,webp,264556,,,,asset folder item / backup or alternate
assets/new_uploads/tommy_arcade_cheek_kiss_ren_interruption.webp,tommy_arcade_cheek_kiss_ren_interruption.webp,webp,234678,,,,asset folder item / backup or alternate
assets/new_uploads/tommy_arcade_kiss_cheek_latest.webp,tommy_arcade_kiss_cheek_latest.webp,webp,232986,,,,asset folder item / backup or alternate
assets/new_uploads/tommy_arcade_solo_awkward_confession.webp,tommy_arcade_solo_awkward_confession.webp,webp,185280,,,,asset folder item / backup or alternate
assets/new_uploads/tommy_arcade_solo_hep5_neon.webp,tommy_arcade_solo_hep5_neon.webp,webp,196126,,,,asset folder item / backup or alternate
assets/new_uploads/tommy_family_dinner_pov_latest.webp,tommy_family_dinner_pov_latest.webp,webp,211808,,,,asset folder item / backup or alternate
assets/new_uploads/tommy_family_sukiyaki_pov.webp,tommy_family_sukiyaki_pov.webp,webp,227782,,,,asset folder item / backup or alternate
assets/new_uploads/tommy_family_sukiyaki_wide_latest.webp,tommy_family_sukiyaki_wide_latest.webp,webp,223726,,,,asset folder item / backup or alternate
assets/new_uploads/tommy_festival_handhold_close_latest.webp,tommy_festival_handhold_close_latest.webp,webp,192460,,,,asset folder item / backup or alternate
