target_asset,source_zip_folder,source_index_in_contact_sheet,source_filename,source_dimensions,note,status
assets/route_kenji_card__webp.jpg,Route Cards,1,12611F88-F818-4EE5-B6AE-2457AAFE7508.PNG,1122x1402,Kenji route card,mapped
assets/kenji_character_card.jpg,Route Cards,1,12611F88-F818-4EE5-B6AE-2457AAFE7508.PNG,1122x1402,Kenji reveal card uses same Kenji card,mapped
assets/route_harrison_card__webp.jpg,Route Cards,2,1384F48E-20A4-488D-BB2B-BDCEFF3057ED.PNG,1122x1402,Harrison route card,mapped
assets/route_hiroshi_card__webp.jpg,Route Cards,3,84260057-AA01-4E44-8936-794E72262445.PNG,1122x1402,Hiroshi route card,mapped
assets/secret_route_locked_card_jp.jpg,Route Cards,4,17E24A3A-9B5A-4FD1-9222-A7B175A07B1A.PNG,1024x1536,Japanese locked secret route card,mapped
assets/secret_route_locked_card.jpg,Route Cards,5,98399D85-4267-4544-8B3D-03F74309BFF6.PNG,1122x1402,English locked secret route card,mapped
assets/route_ren_card__webp.jpg,Route Cards,6,C59A4FE0-83D5-4B9A-AE3A-0894B94CC5EC.PNG,1122x1402,Ren route card,mapped
assets/route_marcus_card__webp.jpg,Route Cards,7,EFB57C44-EB1F-44E7-937E-98328B3F99F5.PNG,1122x1402,Marcus route card,mapped
assets/route_tommy_card__webp.jpg,Route Cards,8,6CEE69F5-B323-4DF6-9965-139A43CC1803.PNG,1122x1402,Tommy route card,mapped
assets/menu_locked_secret.jpg,Menu,1,24133C11-6EDD-4F9D-8991-33D6D7EA0105.PNG,1672x941,English menu locked Kenji,mapped
assets/menu_unlocked_kenji.jpg,Menu,3,B0632B78-5C00-4EC8-B2E8-22C6B3B9D212.PNG,1672x941,English menu Kenji unlocked,mapped
assets/menu_locked_secret_jp.jpg,Menu,5,EA52CC44-073A-4D84-BBDD-E79F67FFC962.PNG,1672x941,Japanese menu locked Kenji,mapped
assets/menu_unlocked_kenji_jp.jpg,Menu,6,A1976A5E-AB44-4C7F-AC74-EE7D7A10A99B.PNG,1672x941,Japanese menu Kenji unlocked,mapped
assets/marcus_first_date_mall_gift.jpg,Marcus Route,8,EFE7DA3E-47F7-42CA-B6EE-210F5AAFE4C0.PNG,1672x941,Marcus/Airi mall first date with shopping bag,mapped
assets/a_romantic_moment_in_a_mall.jpg,Marcus Route,14,9A51C76F-97A8-479F-B4D3-D75583FDDB1D.PNG,1672x941,Marcus/Airi romantic mall moment,mapped
assets/golden_hour_romance_in_the_mall.jpg,Marcus Route,14,9A51C76F-97A8-479F-B4D3-D75583FDDB1D.PNG,1672x941,Marcus/Airi golden mall romance,mapped
assets/stylish_young_man_in_upscale_mall.jpg,Marcus Route,11,5955F3DC-0D9E-478C-87F7-9B1DEC39AD2C.PNG,1672x941,Marcus solo in upscale mall,mapped
assets/marcus_cozy_game_night.jpg,Marcus Route,5,800C86AE-179C-4E1B-959D-32C36F66632B.PNG,1672x941,Marcus game night couch,mapped
assets/cozy_game_night_in_city_apartment.jpg,Marcus Route,2,22E8C2EB-9AB8-4A78-90FE-7F2D64851418.PNG,1672x941,Marcus soft launch / close game night,mapped
assets/cozy_game_night_in_city_lights.jpg,Marcus Route,5,800C86AE-179C-4E1B-959D-32C36F66632B.PNG,1672x941,Marcus game night city lights,mapped
assets/cozy_game_night_in_the_city.jpg,Marcus Route,7,D2C4EBA1-9797-4390-8155-8B8C00A2D892.PNG,1672x941,Marcus game night wide,mapped
assets/cozy_game_night_with_a_city_view.jpg,Marcus Route,9,2FB7A0D6-683E-4CCE-9CAA-3BD5E98719B2.PNG,1672x941,Marcus game night city view,mapped
assets/romantic_gaming_night_in_cozy_light.jpg,Marcus Route,12,64E351E6-B920-480E-93AA-EB2D7B116F18.PNG,1672x941,Marcus romantic gaming,mapped
assets/romantic_gaming_night_in_the_city.jpg,Marcus Route,12,64E351E6-B920-480E-93AA-EB2D7B116F18.PNG,1672x941,Marcus romantic gaming city,mapped
assets/romantic_dinner_with_city_view.jpg,Marcus Route,1,D9AF3A03-51B9-47AD-A0D8-C56BDFE43B29.PNG,1672x941,Marcus dinner date,mapped
assets/romantic_dinner_with_city_lights.jpg,Marcus Route,1,D9AF3A03-51B9-47AD-A0D8-C56BDFE43B29.PNG,1672x941,Marcus dinner date lights,mapped
assets/romantic_night_out_in_the_city.jpg,Marcus Route,4,A4B5EA6F-F508-46ED-8A90-D52EDC963F24.PNG,1672x941,Marcus after dinner walk,mapped
assets/marcus_city_night_out.jpg,Marcus Route,15,85B6C1BA-3374-41B8-B3FC-48FA39D78AA2.PNG,1672x941,Marcus good ending/city night out,mapped
assets/intimate_dinner_with_city_view.jpg,Marcus Route,10,7B9C78D9-A8E6-44A7-9F54-C58A0C53944D.PNG,1672x941,Marcus practical dinner conversation,mapped
assets/contemplative_evening_dinner_in_the_city.jpg,Marcus Route,6,413A810F-F89C-4FC1-A426-35A2B9D08010.PNG,1672x941,Marcus contemplative dinner,mapped
assets/a_tense_dinner_in_the_city.jpg,Marcus Route,16,860537FE-5E4F-4544-8E2C-896912AD0222.PNG,1672x941,Marcus tense dinner / bad ending,mapped
assets/tense_dinner_in_a_dimly_lit_city_apartment.jpg,Marcus Route,3,D1F0BC3D-9890-4311-BA16-1B49470D21C5.PNG,1672x941,Marcus final conversation/tension,mapped
assets/marcus_bittersweet_growth.jpg,Marcus Route,13,9035415A-1FC0-4A5A-8BD0-7959C2B24E06.PNG,1672x941,Marcus growth/bittersweet,mapped
assets/confident_style_in_casual_streetwear.jpg,Marcus Route,11,5955F3DC-0D9E-478C-87F7-9B1DEC39AD2C.PNG,1672x941,Marcus solo streetwear,mapped
assets/confident_elegance_in_neutral_tones.jpg,Marcus Route,6,413A810F-F89C-4FC1-A426-35A2B9D08010.PNG,1672x941,Marcus solo dinner portrait,mapped
assets/harrison_white_roses_latest.jpg,Harrison Route,1,5C44E4C1-280D-4034-9988-54A84BF05118.PNG,1672x941,Harrison with white roses,mapped
assets/harrison_white_roses.jpg,Harrison Route,1,5C44E4C1-280D-4034-9988-54A84BF05118.PNG,1672x941,Harrison with white roses,mapped
assets/harrison_job_offer_airi_laptop.jpg,Harrison Route,2,D4BB3D79-D8E4-4C2D-8F71-CB6B5961371D.PNG,1672x941,Airi laptop/job offer,mapped
assets/harrison_job_offer_apartment_before_email.jpg,Harrison Route,2,D4BB3D79-D8E4-4C2D-8F71-CB6B5961371D.PNG,1672x941,Job offer apartment setup,mapped
assets/harrison_good_ending_couch_kiss.jpg,Harrison Route,8,23235DC9-7AD2-47C5-A217-AF6A6406DFD4.PNG,1672x941,Harrison couch kiss,mapped
assets/harrison_park_first_date_latest.jpg,Harrison Route,4,8CC6E868-BA85-40A8-B3AC-64B2690DEA21.PNG,1672x941,Harrison park first date,mapped
assets/harrison_park_first_date.jpg,Harrison Route,4,8CC6E868-BA85-40A8-B3AC-64B2690DEA21.PNG,1672x941,Harrison park first date,mapped
assets/harrison_good_ending_kitchen_morning.jpg,Harrison Route,11,AE4AEE9B-3845-43D0-9542-3BA4CA1E89FB.PNG,1672x941,Harrison kitchen morning,mapped
assets/harrison_domestic_good_ending.jpg,Harrison Route,11,AE4AEE9B-3845-43D0-9542-3BA4CA1E89FB.PNG,1672x941,Harrison domestic good ending,mapped
assets/harrison_bittersweet_airport_goodbye.jpg,Harrison Route,6,99791623-6638-49DB-B6FF-3D72F99D78CA.PNG,1672x941,Harrison bittersweet goodbye,mapped
assets/harrison_cafe_conversation_latest.jpg,Harrison Route,14,51D8E614-AB0A-4331-B9C5-260BB1D268A6.PNG,1672x941,Harrison cafe conversation,mapped
assets/harrison_cafe_conversation.jpg,Harrison Route,14,51D8E614-AB0A-4331-B9C5-260BB1D268A6.PNG,1672x941,Harrison cafe conversation,mapped
assets/harrison_girlfriend_ask_latest.jpg,Harrison Route,9,58343969-445E-412E-BB94-17ED785DFEAD.PNG,1672x941,Harrison girlfriend ask,mapped
assets/harrison_girlfriend_ask.jpg,Harrison Route,9,58343969-445E-412E-BB94-17ED785DFEAD.PNG,1672x941,Harrison girlfriend ask,mapped
assets/harrison_white_party_latest.jpg,Harrison Route,10,8EEA28D4-C990-45C5-B3EC-14358C95AE05.PNG,1672x941,Harrison white party,mapped
assets/harrison_white_party.jpg,Harrison Route,10,8EEA28D4-C990-45C5-B3EC-14358C95AE05.PNG,1672x941,Harrison white party,mapped
assets/harrison_museum_date_latest.jpg,Harrison Route,12,5EFB25C4-044E-492F-92E6-E8085585528C.PNG,1672x941,Harrison museum date,mapped
assets/harrison_museum_date.jpg,Harrison Route,12,5EFB25C4-044E-492F-92E6-E8085585528C.PNG,1672x941,Harrison museum date,mapped
assets/harrison_bad_empty_space_between_us.jpg,Harrison Route,13,19069CFB-DE0E-499E-A00B-8BC9108760C7.PNG,1672x941,Harrison bad ending empty space,mapped
assets/harrison_city_dinner.jpg,Harrison Route,7,6BEF62ED-7B54-413F-9EE4-5370BE9F142F.PNG,1672x941,Harrison city dinner solo/conversation,mapped
assets/harrison_park_walk.jpg,Harrison Route,4,8CC6E868-BA85-40A8-B3AC-64B2690DEA21.PNG,1672x941,Harrison park walk,mapped
assets/hiroshi_dad_couch.jpg,Hiroshi Route,1,A8975A60-1558-465E-B48E-0DB9C4709C6B.PNG,1672x941,Hiroshi dad-line couch,mapped
assets/hiroshi_character_card.jpg,Hiroshi Route,3,E66FB3CA-A9F0-4D4F-AEFF-3C81407E4B31.PNG,1672x941,Hiroshi portrait/character,mapped
assets/hiroshi_aquarium_tunnel.jpg,Hiroshi Route,4,B6D71A53-34E3-448C-81AC-2DC2DA9C4F72.PNG,1672x941,Hiroshi aquarium tunnel,mapped
assets/hiroshi_aquarium.jpg,Hiroshi Route,4,B6D71A53-34E3-448C-81AC-2DC2DA9C4F72.PNG,1672x941,Hiroshi aquarium,mapped
assets/hiroshi_karaoke_lounge.jpg,Hiroshi Route,6,FAC4798F-732C-42D9-A5AD-E6476206B387.PNG,1672x941,Hiroshi karaoke lounge,mapped
assets/hiroshi_waterfront_date.jpg,Hiroshi Route,7,D15CE5F9-5F8D-4925-8AD4-7AF9157A3D2B.PNG,1672x941,Hiroshi waterfront date,mapped
assets/hiroshi_osaka_city_stroll.jpg,Hiroshi Route,11,D00879FA-A7A2-48F3-A434-9C1DC9ECA34E.PNG,1672x941,Hiroshi Osaka city stroll,mapped
assets/hiroshi_osaka_alley_rain.jpg,Hiroshi Route,8,E43BA122-3F3E-4B45-9DD6-CDED52D3DBCE.PNG,1672x941,Hiroshi Osaka alley rain,mapped
assets/noir_vibes_in_osaka_alley.jpg,Hiroshi Route,8,E43BA122-3F3E-4B45-9DD6-CDED52D3DBCE.PNG,1672x941,Hiroshi noir alley,mapped
assets/hiroshi_train_reflection.jpg,Hiroshi Route,9,E5F507C7-98B7-42C4-B062-5FFA9726790B.PNG,1672x941,Hiroshi train reflection,mapped
